placeDcid,placeName,Date:Count_Person_Employed,Value:Count_Person_Employed,Source:Count_Person_Employed
wikidataId/Q127167,Western Cape,2008-03,2026854.161,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2008-06,2027697.836,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2008-09,2002359.888,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2008-12,2071635.771,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2009-03,2112365.307,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2009-06,2042849.934,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2009-09,2012369.411,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2009-12,2043845.815,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2010-03,2069494.075,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2010-06,2035454.964,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2010-09,1990228.754,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2010-12,2003703.534,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2011-03,2029189.136,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2011-06,2062744.32,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2011-09,2056106.891,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2011-12,2095942.088,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2012-03,2106817.653,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2012-06,2076424.468,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2012-09,2076763.141,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2012-12,2102571.232,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2013-03,2090602.667,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2013-06,2099153.736,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2013-09,2137505.324,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2013-12,2235338.044,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2014-03,2236514.699,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2014-06,2192333.686,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2014-09,2181683.708,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2014-12,2170000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2015-03,2261000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2015-06,2257000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2015-09,2317000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2015-12,2380000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2016-03,2356000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2016-06,2266000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2016-09,2315000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2016-12,2386000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2017-03,2406000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2017-06,2403000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2017-09,2399000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2017-12,2492000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2018-03,2530000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2018-06,2480000,https://southafrica.opendataforafrica.org/
wikidataId/Q127167,Western Cape,2018-09,2494000,https://southafrica.opendataforafrica.org/
wikidataId/Q130840,Eastern Cape,2008-03,1300818.961,https://southafrica.opendataforafrica.org/
